Player Name,Player Id,URL,Market Value,Age,Position
Matheus Mendes,629077,https://www.transfermarkt.com.br/matheus-mendes/profil/spieler/629077,300 mil €,25,Goalkeepers
Gatito Fernández,107318,https://www.transfermarkt.com.br/gatito-fernandez/profil/spieler/107318,300 mil €,36,Goalkeepers
Mateus Pasinato,349418,https://www.transfermarkt.com.br/mateus-pasinato/profil/spieler/349418,300 mil €,32,Goalkeepers
Marcelo Lomba,53015,https://www.transfermarkt.com.br/marcelo-lomba/profil/spieler/53015,250 mil €,37,Goalkeepers
Danilo Fernandes,99439,https://www.transfermarkt.com.br/danilo-fernandes/profil/spieler/99439,250 mil €,36,Goalkeepers
Felipe Alves,189682,https://www.transfermarkt.com.br/felipe-alves/profil/spieler/189682,250 mil €,36,Goalkeepers
Walter,269860,https://www.transfermarkt.com.br/walter/profil/spieler/269860,250 mil €,37,Goalkeepers
Fabrício,150479,https://www.transfermarkt.com.br/fabricio/profil/spieler/150479,200 mil €,38,Goalkeepers
Gabriel Souza,994229,https://www.transfermarkt.com.br/gabriel-souza/profil/spieler/994229,200 mil €,20,Goalkeepers
Fábio,22415,https://www.transfermarkt.com.br/fabio/profil/spieler/22415,200 mil €,44,Goalkeepers
Muriel,27349,https://www.transfermarkt.com.br/muriel/profil/spieler/27349,200 mil €,37,Goalkeepers
Alisson,375532,https://www.transfermarkt.com.br/alisson/profil/spieler/375532,100 mil €,29,Goalkeepers
Gabriel Átila,1083089,https://www.transfermarkt.com.br/gabriel-atila/profil/spieler/1083089,100 mil €,21,Goalkeepers
Raul,520093,https://www.transfermarkt.com.br/raul/profil/spieler/520093,100 mil €,27,Goalkeepers
Gabriel Delfim,978121,https://www.transfermarkt.com.br/gabriel-delfim/profil/spieler/978121,100 mil €,22,Goalkeepers
Felipe Scheibig,896667,https://www.transfermarkt.com.br/felipe-scheibig/profil/spieler/896667,100 mil €,24,Goalkeepers
Gustavo Ramalho,884069,https://www.transfermarkt.com.br/gustavo-ramalho/profil/spieler/884069,100 mil €,22,Goalkeepers
Mateus,813121,https://www.transfermarkt.com.br/mateus/profil/spieler/813121,100 mil €,22,Goalkeepers
Young,894532,https://www.transfermarkt.com.br/young/profil/spieler/894532,100 mil €,22,Goalkeepers
Emerson Junior,813038,https://www.transfermarkt.com.br/emerson-junior/profil/spieler/813038,100 mil €,24,Goalkeepers
Rhyan,1116620,https://www.transfermarkt.com.br/rhyan/profil/spieler/1116620,50 mil €,18,Goalkeepers
Lucas Wingert,570583,https://www.transfermarkt.com.br/lucas-wingert/profil/spieler/570583,50 mil €,25,Goalkeepers
Fintelman,740272,https://www.transfermarkt.com.br/fintelman/profil/spieler/740272,50 mil €,23,Goalkeepers
Pablo,1083887,https://www.transfermarkt.com.br/pablo/profil/spieler/1083887,50 mil €,21,Goalkeepers
Léo Aragão,1022342,https://www.transfermarkt.com.br/leo-aragao/profil/spieler/1022342,50 mil €,22,Goalkeepers
Joaquín Piquerez,496268,https://www.transfermarkt.com.br/joaquin-piquerez/profil/spieler/496268,"13,00 mi. €",26,Defenders
Guilherme Arana,346766,https://www.transfermarkt.com.br/guilherme-arana/profil/spieler/346766,"12,00 mi. €",27,Defenders
Matías Viña,439072,https://www.transfermarkt.com.br/matias-vina/profil/spieler/439072,"10,00 mi. €",27,Defenders
Vitor Reis,1005575,https://www.transfermarkt.com.br/vitor-reis/profil/spieler/1005575,"10,00 mi. €",18,Defenders
Léo Pereira,288431,https://www.transfermarkt.com.br/leo-pereira/profil/spieler/288431,"9,00 mi. €",28,Defenders
Murilo,458710,https://www.transfermarkt.com.br/murilo/profil/spieler/458710,"9,00 mi. €",27,Defenders
Léo Ortiz,374136,https://www.transfermarkt.com.br/leo-ortiz/profil/spieler/374136,"9,00 mi. €",28,Defenders
Vitão,428783,https://www.transfermarkt.com.br/vitao/profil/spieler/428783,"8,00 mi. €",24,Defenders
Agustín Giay,849582,https://www.transfermarkt.com.br/agustin-giay/profil/spieler/849582,"8,00 mi. €",20,Defenders
Júnior Alonso,273000,https://www.transfermarkt.com.br/junior-alonso/profil/spieler/273000,"8,00 mi. €",31,Defenders
Lucas Piton,670201,https://www.transfermarkt.com.br/lucas-piton/profil/spieler/670201,"8,00 mi. €",24,Defenders
Ayrton Lucas,349585,https://www.transfermarkt.com.br/ayrton-lucas/profil/spieler/349585,"8,00 mi. €",27,Defenders
Luan Cândido,432166,https://www.transfermarkt.com.br/luan-candido/profil/spieler/432166,"7,00 mi. €",23,Defenders
Gustavo Gómez,215390,https://www.transfermarkt.com.br/gustavo-gomez/profil/spieler/215390,"7,00 mi. €",31,Defenders
Fabrício Bruno,432773,https://www.transfermarkt.com.br/fabricio-bruno/profil/spieler/432773,"6,00 mi. €",28,Defenders
Alex Telles,255755,https://www.transfermarkt.com.br/alex-telles/profil/spieler/255755,"6,00 mi. €",31,Defenders
Wesley,964580,https://www.transfermarkt.com.br/wesley/profil/spieler/964580,"6,00 mi. €",21,Defenders
Marlon,406675,https://www.transfermarkt.com.br/marlon/profil/spieler/406675,"5,00 mi. €",27,Defenders
Vitinho,468249,https://www.transfermarkt.com.br/vitinho/profil/spieler/468249,"5,00 mi. €",25,Defenders
João Victor,671145,https://www.transfermarkt.com.br/joao-victor/profil/spieler/671145,"5,00 mi. €",26,Defenders
Félix Torres,468174,https://www.transfermarkt.com.br/felix-torres/profil/spieler/468174,"4,50 mi. €",27,Defenders
Vanderlan,816129,https://www.transfermarkt.com.br/vanderlan/profil/spieler/816129,"4,00 mi. €",22,Defenders
Hugo,740157,https://www.transfermarkt.com.br/hugo/profil/spieler/740157,"4,00 mi. €",23,Defenders
Eros Mancuso,888545,https://www.transfermarkt.com.br/eros-mancuso/profil/spieler/888545,"4,00 mi. €",25,Defenders
Adryelson,373433,https://www.transfermarkt.com.br/adryelson/profil/spieler/373433,"4,00 mi. €",26,Defenders
Iago,520468,https://www.transfermarkt.com.br/iago/profil/spieler/520468,"4,00 mi. €",27,Defenders
Matheuzinho,594226,https://www.transfermarkt.com.br/matheuzinho/profil/spieler/594226,"4,00 mi. €",24,Defenders
João Marcelo,744024,https://www.transfermarkt.com.br/joao-marcelo/profil/spieler/744024,"4,00 mi. €",24,Defenders
João Pedro,342024,https://www.transfermarkt.com.br/joao-pedro/profil/spieler/342024,"4,00 mi. €",28,Defenders
William,341710,https://www.transfermarkt.com.br/william/profil/spieler/341710,"4,00 mi. €",29,Defenders
Rubens,843397,https://www.transfermarkt.com.br/rubens/profil/spieler/843397,"4,00 mi. €",23,Defenders
Leonardo Godoy,369556,https://www.transfermarkt.com.br/leonardo-godoy/profil/spieler/369556,"3,80 mi. €",29,Defenders
Zé Ivaldo,484848,https://www.transfermarkt.com.br/ze-ivaldo/profil/spieler/484848,"3,50 mi. €",27,Defenders
Cuiabano,891353,https://www.transfermarkt.com.br/cuiabano/profil/spieler/891353,"3,50 mi. €",21,Defenders
