Player Name,Player Id,Season,Date,Home-Game,Minutes Played
Agustín Rossi,352324,2021,14/09/22,0,90'
Agustín Rossi,352324,2021,19/09/22,1,90'
Agustín Rossi,352324,2021,23/09/22,0,90'
Agustín Rossi,352324,2021,02/10/22,1,90'
Agustín Rossi,352324,2021,09/10/22,1,90'
Agustín Rossi,352324,2021,12/10/22,0,90'
Agustín Rossi,352324,2021,16/10/22,0,90'
Agustín Rossi,352324,2021,20/10/22,0,90'
Agustín Rossi,352324,2021,23/10/22,1,90'
Agustín Rossi,352324,2021,13/02/22,1,90'
Agustín Rossi,352324,2021,16/02/22,0,90'
Agustín Rossi,352324,2021,20/02/22,1,90'
Agustín Rossi,352324,2021,26/02/22,0,90'
Agustín Rossi,352324,2021,06/03/22,1,90'
Agustín Rossi,352324,2021,13/03/22,0,90'
Agustín Rossi,352324,2021,20/03/22,0,90'
Agustín Rossi,352324,2021,02/04/22,1,90'
Agustín Rossi,352324,2021,09/04/22,0,90'
Agustín Rossi,352324,2021,07/05/22,0,90'
Agustín Rossi,352324,2021,10/05/22,1,90'
Agustín Rossi,352324,2021,14/05/22,1,90'
Agustín Rossi,352324,2021,22/05/22,1,90'
Agustín Rossi,352324,2021,08/06/22,0,90'
Agustín Rossi,352324,2021,06/11/22,1,120'
Léo Jardim,288415,2023,14/04/24,1,90'
Léo Jardim,288415,2023,17/04/24,0,90'
Léo Jardim,288415,2023,20/04/24,0,90'
Léo Jardim,288415,2023,27/04/24,1,90'
Léo Jardim,288415,2023,05/05/24,0,90'
Léo Jardim,288415,2023,12/05/24,1,90'
Léo Jardim,288415,2023,02/06/24,1,90'
Léo Jardim,288415,2023,13/06/24,0,90'
Léo Jardim,288415,2023,16/06/24,1,90'
Léo Jardim,288415,2023,19/06/24,0,90'
Léo Jardim,288415,2023,22/06/24,1,90'
Léo Jardim,288415,2023,26/06/24,0,90'
Léo Jardim,288415,2023,29/06/24,1,90'
Léo Jardim,288415,2023,03/07/24,1,90'
Léo Jardim,288415,2023,07/07/24,0,90'
Léo Jardim,288415,2023,10/07/24,1,90'
Léo Jardim,288415,2023,17/07/24,0,90'
Léo Jardim,288415,2023,21/07/24,0,90'
Léo Jardim,288415,2023,28/07/24,0,90'
Léo Jardim,288415,2023,03/08/24,1,90'
Léo Jardim,288415,2023,10/08/24,1,90'
Léo Jardim,288415,2023,18/08/24,0,90'
Léo Jardim,288415,2023,26/08/24,1,90'
Léo Jardim,288415,2023,01/09/24,0,90'
Léo Jardim,288415,2023,15/09/24,0,90'
Léo Jardim,288415,2023,22/09/24,1,90'
Léo Jardim,288415,2023,29/09/24,0,90'
Léo Jardim,288415,2023,05/10/24,1,90'
Léo Jardim,288415,2023,16/10/24,0,90'
Léo Jardim,288415,2023,24/10/24,1,90'
Léo Jardim,288415,2023,28/10/24,1,90'
Léo Jardim,288415,2023,05/11/24,0,90'
Léo Jardim,288415,2023,09/11/24,0,90'
Léo Jardim,288415,2023,21/11/24,1,90'
Léo Jardim,288415,2023,24/11/24,0,90'
Léo Jardim,288415,2023,30/11/24,1,90'
